DATE_TIME,CO,NO2,SO2
2025-12-14,,,
2025-12-15,,,3.8942464016145095e-05
2025-12-16,,2.1656260287272744e-06,7.574620394734666e-05
2025-12-17,0.0275989025831222,6.79376444168156e-06,2.503945324860979e-05
2025-12-18,0.0310789719223976,,
2025-12-19,,,
2025-12-20,,,0.00014410563744604588
2025-12-21,,,
2025-12-22,0.0352446027100086,3.3558648283360526e-05,7.832442861399613e-06
2025-12-23,0.0273218899965286,,
2025-12-24,0.0290705375373363,3.1145988032221794e-05,9.523896733298898e-05
2025-12-25,0.0265331901609897,,-2.3935159333632328e-05
2025-12-26,,,0.00010532868327572942
2025-12-27,,,
2025-12-28,0.0225201714783906,,0.00017167761689051986
2025-12-29,0.0235403701663017,4.558173532132059e-05,-1.9210681784898043e-05
2025-12-30,,-1.7714756950226729e-06,-3.696041676448658e-05
2025-12-31,,,
2026-01-01,,,
2026-01-02,,,
2026-01-03,,,
2026-01-04,,1.840294498833828e-05,-1.1985508535872214e-05
2026-01-05,,,
2026-01-06,,,
2026-01-07,,,
2026-01-08,0.023269809782505,,
2026-01-09,0.030636329203844,,
2026-01-10,,,
2026-01-11,,,
2026-01-12,,,
2026-01-13,0.0296206977218389,6.678291356365662e-06,6.267541175475344e-05
2026-01-14,,,3.3323231036774814e-05
2026-01-15,,,
2026-01-16,,,1.495258038630709e-05
2026-01-17,,,
2026-01-18,0.0270043555647134,2.321606189070735e-05,0.0001828243839554489
2026-01-19,0.0291472226381301,1.0977784768329002e-05,-6.252881576074287e-05
2026-01-20,,,
2026-01-21,,,
2026-01-22,,,
2026-01-23,,,
2026-01-24,0.0259441770613193,,
2026-01-25,,,
2026-01-26,0.028733367100358,,
2026-01-27,0.0273955278098583,,
2026-01-28,,,
2026-01-29,,2.1485184333869256e-05,-3.294397538411431e-05
2026-01-30,0.0333765000104904,2.316932295798324e-05,-5.275382864056155e-05
2026-01-31,0.0344846136868,,-1.8779288438963704e-05
2026-02-01,,,
2026-02-02,,,
2026-02-03,0.0288463737815618,,-4.725688086182345e-06
2026-02-04,0.0287907738238573,,-8.776313188718632e-05
2026-02-05,0.0329574458301067,2.890644464059733e-05,6.977345765335485e-05
2026-02-06,,,
2026-02-07,,,
2026-02-08,,,
2026-02-09,,,
2026-02-10,,,6.350644980557263e-05
2026-02-11,,,
2026-02-12,,,
2026-02-13,,,
2026-02-14,,,
2026-02-15,,,1.3942682926426642e-05
2026-02-16,,,
2026-02-17,,,-0.0002906877198256552
2026-02-18,,,
2026-02-19,,,
2026-02-20,0.0296551249921321,,
2026-02-21,,,
2026-02-22,,,
2026-02-23,,1.586571852385532e-05,-0.0006308980518952012
2026-02-24,,,
2026-02-25,,,-0.0002447245642542839
2026-02-26,,,
2026-02-27,0.0205653794109821,2.175407462345902e-05,-5.5219559726538137e-05
2026-02-28,,,0.00017419966752640903
2026-03-01,,,-9.262022649636492e-05
2026-03-02,,,
2026-03-03,0.0261399000883102,1.0969002687488684e-05,-0.0001029159247991629
2026-03-04,0.025958938524127,9.11572260520188e-06,0.0002345230313949287
2026-03-05,0.0314561463892459,,-4.45678124378901e-05
2026-03-06,,,
2026-03-07,,,
2026-03-08,0.0225199349224567,,
2026-03-09,0.0329324156045913,1.8633194486028515e-05,7.682305295020342e-05
2026-03-10,0.0282860081642866,,-1.5724621334811673e-05
2026-03-11,,8.930835974751972e-06,-2.1577736333711076e-05
2026-03-12,0.0243276115506887,2.3277852960745804e-05,5.879743184777908e-05
2026-03-13,0.0252855569124221,2.8476692023104988e-05,-5.692587001249194e-05
2026-03-14,0.0291940476745367,1.151988635683665e-05,0.0002565800095908344
2026-03-15,,,-7.486021786462516e-05
2026-03-16,0.0304439403116703,,6.68702632538043e-05
2026-03-17,0.026268245652318,1.90515293070348e-05,0.000228209828492254
2026-03-18,0.029504969716072,2.6064528356073424e-05,-4.044656816404313e-05
2026-03-19,0.0289901234209537,4.590633125189925e-06,7.412029844999779e-06
2026-03-20,,,
2026-03-21,,,
2026-03-22,,,0.00011658708535833284
2026-03-23,0.0230407733470201,2.434382258797996e-05,-0.00027321616653352976
2026-03-24,0.0302492156624794,,
2026-03-25,0.0323276743292808,2.2231326511246152e-05,0.0002485365839675069
2026-03-26,,,
2026-03-27,,,
2026-03-28,0.0296626482158899,,
2026-03-29,,2.2763171728001907e-05,0.00011789132258854806
2026-03-30,0.0268191695213317,1.941910522873513e-05,0.0003101607726421207
2026-03-31,,,
2026-04-01,0.0290009714663028,3.361843482707627e-05,0.00033634292776696384
2026-04-02,0.0273371450603008,,
2026-04-03,0.0303424913436174,1.918672933243215e-05,0.00011810268188128248
2026-04-04,0.029834134504199,2.985953324241564e-05,6.510295497719198e-05
2026-04-05,0.0313189327716827,3.098325032624416e-05,0.000249849894316867
2026-04-06,0.0282373968511819,,2.716849667194765e-05
2026-04-07,,,
2026-04-08,,,
2026-04-09,,,-0.0002938496181741357
2026-04-10,0.0268699619919061,,-0.000149125829921104
2026-04-11,0.036884106695652,,0.00026915306807495654
2026-04-12,,,
2026-04-13,0.0283760782331228,1.832453017414082e-05,0.0002839559456333518
2026-04-14,0.0277325641363859,,
2026-04-15,0.0278621017932891,,0.0001934057654580101
2026-04-16,0.0229910723865032,,-0.00013585711712948978
2026-04-17,0.0246110074222087,,0.0004010504635516554
2026-04-18,0.0269673038274049,8.156544026860502e-06,1.485175198467914e-05
2026-04-19,0.0285840723663568,2.1944899344816804e-05,-0.0001589374296599999
2026-04-20,0.0334622673690319,2.716147355386056e-05,-0.0002329544659005478
2026-04-21,0.0344118401408195,3.678501889226027e-05,7.026758248684928e-05
2026-04-22,,,
2026-04-23,0.0275151170790195,,
2026-04-24,0.0276877842843532,,-0.00010005153308156878
2026-04-25,0.0292505901306867,2.995368959091138e-05,0.0002404115803074092
2026-04-26,0.026964159682393,4.512184750637971e-05,0.00010847518569789828
2026-04-27,,,
2026-04-28,,,0.00017386801482643932
2026-04-29,0.0278294347226619,2.959643097710796e-05,8.111428905976936e-05
2026-04-30,0.025364140048623,,
2026-05-01,0.0206120517104864,1.1170976904395502e-05,0.00015223263471852988
2026-05-02,0.0230374708771705,,
2026-05-03,,,
2026-05-04,0.0291072502732276,,
2026-05-05,0.0291966572403907,,
2026-05-06,0.0231685042381286,2.207187208114192e-05,0.0002894980716519058
2026-05-07,0.0321830995380878,3.479410952422768e-05,0.00013932901492808014
2026-05-08,,1.929840072989464e-05,2.762226904451381e-05
2026-05-09,,,-0.00024100657901726663
2026-05-10,0.0282702557742595,,
2026-05-11,0.0309480335563421,2.217003748228308e-05,2.432254586892668e-05
2026-05-12,0.0247107706964015,,9.97568349703215e-05
2026-05-13,0.0273594185709953,,0.000542584341019392
2026-05-14,,,
2026-05-15,0.0280395913869142,1.7326543456874788e-05,2.2498898033518344e-05
2026-05-16,0.0265997052192688,2.734892768785357e-05,0.00017123227007687092
2026-05-17,0.0201170053333044,1.0160645615542307e-05,2.2495065422845076e-05
2026-05-18,,,
2026-05-19,0.0273248590528965,,5.126868927618489e-05
2026-05-20,0.0288280360400676,,1.858700852608308e-05
2026-05-21,0.0328578688204288,2.2463906134362333e-05,-2.700900267882389e-06
2026-05-22,,,
2026-05-23,,2.5878476662910543e-05,4.21523473050911e-05
2026-05-24,0.0294821020215749,,0.00011603465827647597
2026-05-25,0.0286344643682241,1.924740536196623e-05,0.00041113761835731566
2026-05-26,0.0265042204409837,1.4691522665088996e-05,9.104621858568862e-05
2026-05-27,0.0313958525657653,,7.909224950708449e-05
2026-05-28,0.0255684461444616,2.211122955486644e-05,-0.0001643317809794098
2026-05-29,0.0350802950561046,7.173213816713542e-06,7.892467692727223e-05
2026-05-30,,,2.723910438362509e-05
2026-05-31,0.0294947978109121,3.1237264920491725e-05,-0.0002054068463621661
2026-06-01,0.0288308393210172,4.563034235616215e-05,-0.00013552806922234595
2026-06-02,0.0306129530072212,2.828662945830729e-05,0.00014804129023104906
2026-06-03,0.027363084256649,,
2026-06-04,0.0248682294040918,1.1180447472725064e-05,-8.598132262704894e-05
2026-06-05,0.0306426491588354,2.7820262403110974e-05,0.00012147782399551944
2026-06-06,0.0319190397858619,1.9869865354849026e-05,-6.754024070687592e-06
2026-06-07,0.0229762699455022,2.4218943508458324e-05,0.000434843183029443
2026-06-08,0.0323164388537406,,0.0004596624930854887
2026-06-09,0.0298145227134227,2.4215332814492285e-05,-0.0005755206802859902
2026-06-10,0.0316650345921516,3.8346985093085095e-05,0.00042413646588101983
2026-06-11,0.0327981561422348,1.700806933513377e-05,0.0005062253912910819
2026-06-12,,,
2026-06-13,0.0243291668593883,,
2026-06-14,,,0.0003507508372422308
2026-06-15,,1.1763662769226356e-05,-0.000634554831776768
2026-06-16,0.0321987904608249,3.517571167321876e-05,-3.6002384149469435e-06
2026-06-17,0.0262617319822311,,0.00022999498469289392
2026-06-18,0.029426084831357,1.846370832936373e-05,0.0004310561926104128
2026-06-19,0.0288499929010868,2.7756266717915423e-05,-0.0001593265769770369
2026-06-20,0.0275154765695333,,-0.0002600458974484354
2026-06-21,0.0365965254604816,3.477022619335912e-05,-8.442260150332004e-05
2026-06-22,0.0311984382569789,,
2026-06-23,0.0278778728097677,,0.00016725891327951103
2026-06-24,0.0335314497351646,,
2026-06-25,0.0276208836585283,,
2026-06-26,0.0274995043873786,,4.426860687090084e-05
2026-06-27,0.0266958586871624,2.739904812187888e-05,0.00012282610987313092
2026-06-28,0.0314544551074504,1.1907215593964793e-05,-1.0904265764111187e-05
2026-06-29,0.0262661147862672,2.443709126964677e-05,-0.0003634812601376325
2026-06-30,,2.996753391926177e-05,0.0005638463771902025
2026-07-01,,3.368897523614578e-05,0.0004472138243727386
2026-07-02,0.0329954214394092,2.774889435386285e-05,-0.00027562156901694834
2026-07-03,0.0272474344819784,2.042595406237524e-05,0.00013233379286248237
2026-07-04,0.0271645300090312,,0.0002947725006379187
2026-07-05,0.0286468733102083,,0.00027003648574464023
2026-07-06,0.0261465664952993,2.8326785468379967e-05,
2026-07-07,0.030905419960618,2.809651596180629e-05,0.00014118825492914766
2026-07-08,,3.3369437005603686e-05,-3.943502815673128e-05
2026-07-09,0.0336116105318069,4.296021143090911e-05,-0.0004597696533892304
2026-07-10,,5.7430755987297744e-05,0.0003268387517891824
2026-07-11,0.0338314920663833,,-4.917159822070971e-05
2026-07-12,0.0336541049182415,,-0.0002483343705534935
2026-07-13,0.030199309810996,2.999043681484181e-05,0.00014647420903202146
2026-07-14,0.0371778644621372,4.152499604970217e-05,0.00019829024677164853
2026-07-15,0.0288509931415319,1.3492120160663036e-05,0.00027059114654548466
2026-07-16,0.029624905437231,2.591916563687846e-05,7.613021443830803e-05
2026-07-17,,3.988654862041585e-05,0.00033124411129392684
2026-07-18,0.0337061733007431,3.162116991006769e-05,-0.00011177960550412536
2026-07-19,0.0308492090553045,4.152931069256738e-05,2.791873839669279e-06
2026-07-20,0.0286268200725317,,9.041098564921413e-06
2026-07-21,0.032965138554573,3.106120493612252e-05,-0.0001255286333616823
2026-07-22,0.0290798619389534,2.910188777605072e-05,-9.60282632149756e-05
2026-07-23,0.0335039049386978,1.4999704944784751e-05,-0.0001406710798619315
2026-07-24,0.0311949998140335,8.325258932018187e-06,6.597169704036787e-05
2026-07-25,0.0376235283911228,3.096781074418686e-05,0.0003972772683482617
2026-07-26,0.0340196006000041,3.330547042423859e-05,0.000993457855656743
2026-07-27,0.0307985506951808,3.167743852827698e-05,-0.0001151386823039502
2026-07-28,0.030085390433669,,1.1173887287441175e-05
2026-07-29,0.0319733694195747,,
2026-07-30,0.0400460734963417,,
2026-07-31,0.0336631201207637,,
2026-08-01,0.0342087298631668,2.865672104235273e-05,5.806281842524186e-05
2026-08-02,,2.7540698283701204e-05,-7.404994539683685e-05
2026-08-03,0.034310333430767,3.538687451509759e-05,8.44688038341701e-05
2026-08-04,0.0326952040195465,3.4261429391335696e-05,-6.942084291949868e-05
2026-08-05,0.0292708966881036,2.819630208250601e-05,0.0003391586942598224
2026-08-06,0.0291050560772418,3.71442292816937e-05,-0.00016307747864630073
2026-08-07,,2.387690983596258e-05,0.0006129386019892991
2026-08-08,0.037628911435604,,0.0005650128005072474
2026-08-09,0.0337954424321651,3.4039021556964144e-05,-0.00016169718583114445
2026-08-10,0.0323134325444698,,0.0001305723999394104
2026-08-11,0.0326726250350475,2.8179782020743005e-05,-0.0001003539000521414
2026-08-12,,2.356627373956144e-05,0.00021955542615614831
2026-08-13,,4.221371273160912e-05,-0.00020112530910409987
2026-08-14,0.0348610766232013,2.699657852645032e-05,0.00016428450180683285
2026-08-15,0.0392550900578498,,
2026-08-16,0.0300096776336431,3.314979767310433e-05,0.000526705349329859
2026-08-17,0.0321309007704257,,0.00016774846881162375
2026-08-18,,3.219314385205507e-05,0.00014678727893624455
2026-08-19,,,
2026-08-20,0.0301078651100397,,
2026-08-21,0.0294690579175949,4.33066779805813e-05,-5.115754174767062e-05
2026-08-22,0.0331188403069973,,3.5762172046815977e-05
2026-08-23,0.0326038673520088,3.002523044415284e-05,4.795849235961214e-05
2026-08-24,0.0334652736783027,4.496085239225067e-05,0.0002757615293376148
2026-08-25,0.0374609716236591,3.0511759177898057e-05,0.0002351473376620561
2026-08-26,0.0371826030313968,4.577834260999225e-05,0.0005530792404897511
2026-08-27,0.0401242673397064,3.5698078136192635e-05,0.0001570860913489014
2026-08-28,0.0359391383826732,3.476682468317449e-05,0.00022282103600446132
2026-08-29,,5.474135832628235e-05,0.0006272919126786292
2026-08-30,0.0332659371197223,3.283929981989786e-05,7.290078065125272e-05
2026-08-31,,,
